source,target
2975,6384
2975,2975
2975,530
2975,1107983
2975,52057
2975,110380
2975,8349
2975,3084
2975,3087
6384,6384
6384,530
6384,18355
6384,64
6384,1776
6384,564
6384,584
530,529
530,530
530,532
1107983,1107983
1107983,52057
1107983,110380
1107983,180659
1107983,1280183
1107983,2787630
1107983,89289
1107983,2102583
1107983,73988
1107983,2803017
1107983,2954
1107983,33663
1107983,937663
1107983,1931175
1107983,1700943
1107983,938972
1107983,1236595
1107983,559610
1107983,2198533
1107983,2699648
1107983,1209864
1107983,2685726
1107983,2764421
52057,52057
52057,110380
52057,2535
52057,225620
52057,1038
52057,4173
52057,349
110380,4587
110380,110380
110380,9780
110380,19011
110380,146687
110380,1122373
110380,1122374
110380,1122375
8349,8349
8349,3084
8349,3087
8349,11367
8349,31028
8349,3266
8349,36059
8349,1179102
8349,21010
8349,101032
8349,928944
8349,2022250
8349,9979
8349,514
8349,6193
8349,1892
8349,7796
8349,851784
8349,125025
8349,122889
8349,2641
8349,72028
8349,4724
8349,66743
8349,1461
8349,2098136
8349,2098137
3084,3084
3084,9857
3084,5248
3084,3087
3084,1158
3084,3085
3084,1662371
3084,82702
3084,65605
3084,47775
3084,14386
3084,4483
3084,13570
3084,3417
3084,6729
3084,491
3084,8406
3087,3087
3087,1158
3087,380
3087,84678
3087,3085
3087,106179
3087,10190
3087,5250
3087,3810
3087,72305
3087,44735
3087,3037
3087,4951
3087,1776
3087,8487
3087,8490
3087,6838
