ID,Title,Avg
11,Star Wars,76.496
62,2001: A Space Odyssey,39.064
152,Star Trek: The Motion Picture,26.551
154,Star Trek II: The Wrath of Khan,17.266
157,Star Trek III: The Search for Spock,17.008
168,Star Trek IV: The Voyage Home,17.747
172,Star Trek V: The Final Frontier,18.588
174,Star Trek VI: The Undiscovered Country,10.975
193,Star Trek: Generations,10.921
199,Star Trek: First Contact,22.78
200,Star Trek: Insurrection,17.369
201,Star Trek: Nemesis,22.021
212,Arsenic and Old Lace,12.55
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",31.61
563,Starship Troopers,22.141
679,Aliens,29.666
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,21.628
940,The Lady Vanishes,14.034
1410,Dark Star,8.462
1771,Captain America: The First Avenger,25.99
1884,The Ewok Adventure,11.998
1891,The Empire Strikes Back,27.13
1892,Return of the Jedi,24.305
1893,Star Wars: Episode I - The Phantom Menace,28.646
1894,Star Wars: Episode II - Attack of the Clones,25.394
1895,Star Wars: Episode III - Revenge of the Sith,27.07
2102,Solar Crisis,4.675
2115,Light of Day,3.617
2164,Stargate,21.584
2215,Star-Crossed Lovers,1.049
2270,Stardust,17.121
2357,10 Items or Less,8.451
2405,Joseph,9.818
2712,Jacob,5.341
2719,Moses,4.206
2748,Journey to Italy,9.854
2764,All Stars,2.448
2909,In the Dust of the Stars,4.747
3111,A Star Is Born,11.519
3480,The Old Gun,7.453
4338,I Woke Up Early the Day I Died,5.54
4826,Five Moons Plaza,5.048
4834,Starke Zeiten,1.544
4959,The International,15.741
5506,The Ladykillers,8.835
5516,The Ladykillers,14.377
6436,Star Command,2.773
6977,No Country for Old Men,23.01
7288,Duplex,14.948
7508,Like Stars on Earth,12.084
8413,Event Horizon,17.281
8859,"Dude, Where's My Car?",16.274
9384,Starsky & Hutch,17.678
9425,Soldier,18.62
9663,Starman,12.866
9784,Man About Town,6.895
9820,The Parent Trap,20.059
9821,The Mighty,6.857
9989,Antitrust,10.754
10044,My Lucky Stars,13.775
10243,The Flight of the Phoenix,7.48
10304,Starship Troopers 2: Hero of the Federation,15.312
10313,The Men Who Stare at Goats,12.426
10349,The Dark Half,14.095
10372,Ewoks: The Battle for Endor,13.285
10696,Glitter,8.732
10768,Omen III: The Final Conflict,14.567
10869,Herbie Rides Again,11.253
10975,Operation Condor,22.862
11049,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,9.081
11052,Yu-Gi-Oh! The Movie,14.23
11127,Starship Troopers 3: Marauder,13.497
11132,Confessions of a Teenage Drama Queen,11.811
11243,The Care Bears Movie,10.34
11331,The Old Man and the Sea,6.975
11337,Stardust Memories,9.148
11451,Herbie Fully Loaded,19.688
11467,America's Sweethearts,16.657
11607,DeepStar Six,11.535
11679,xXx: State of the Union,20.763
11884,The Last Starfighter,12.269
11900,Even Dwarfs Started Small,4.294
12180,Star Wars: The Clone Wars,18.263
12410,Good,5.19
12508,Rock Star,15.098
12599,Pokémon: The Movie 2000,16.28
12633,The Star Chamber,10.058
12697,Laura's Star,5.6
12775,Flesh + Blood,10.643
12914,Stargate: Continuum,12.545
13001,Stargate: The Ark of Truth,8.937
13053,Bolt,28.743
13076,Starting Out in the Evening,3.667
13092,How to Lose Friends & Alienate People,15.269
13171,The Ex,11.174
13243,Meet Bill,14.346
13386,I'm Starting from Three,6.218
13475,Star Trek,26.704
13476,Win a Date with Tad Hamilton!,11.133
13654,101 Dalmatians II: Patch's London Adventure,21.957
13705,The Christmas Star,5.452
13721,Half Past Dead 2,4.791
13739,Quatre étoiles,5.012
13778,Dickie Roberts: Former Child Star,11.772
13907,Kurt & Courtney,8.381
13955,Beethoven's Big Break,7.319
14055,Starter for 10,7.33
14249,Revenge,9.632
14268,Startup.com,6.1
14428,Who's Your Monkey?,1.954
14460,Battle Beyond the Stars,7.586
14809,Stark Raving Mad,7.821
14857,Personal Effects,7.12
15438,My Stars,5.664
15493,Star Wreck: In the Pirkinning,3.881
15494,Starflight: The Plane That Couldn't Land,3.73
15616,Private Valentine: Blonde & Dangerous,10.217
15713,The First Star,5.38
15921,Starko!,0.839
16012,"Old, New, Borrowed and Blue",2.481
16068,Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,6.581
16187,Buzz Lightyear of Star Command: The Adventure Begins,17.493
16202,Cedric the Entertainer: Starting Lineup,2.025
16538,"I Love You, Man",26.253
16784,Welcome to Mooseport,8.698
17160,WWE: Greatest Wrestling Stars of the '90s,4.215
17237,The Moon and the Stars,2.557
17575,Only Clouds Move the Stars,2.121
17695,John Pinette: I'm Starvin'!,3.493
17938,First Spaceship on Venus,3.326
18122,The Inhabited Island 2: Rebellion,4.896
18231,Star Trek: Of Gods And Men,4.864
18419,Shooting Stars,4.431
18639,Flaming Star,4.357
18648,Under California Stars,1.659
18666,New Fist of Fury,11.305
18707,"Twinkle, Twinkle, Lucky Stars",10.242
18815,Glowing Stars,4.908
18823,Clash of the Titans,27.574
19256,Mobile Suit Zeta Gundam A New Translation I: Heirs to the Stars,3.13
19358,Angels & Airwaves: Start the Machine,2.146
19371,Mr. Nanny,11.249
19610,A Star Is Born,7.674
19753,Start the Revolution Without Me,4.171
19877,Fist of the North Star,8.197
20043,Royal Space Force - The Wings Of Honneamise,6.663
20372,Nine Lives,3.68
20737,Air Bud,10.399
20787,The Man Who Saves The World,3.017
20932,Father Frost,6.689
20947,Moscow-Cassiopeia,2.351
21188,Goat Story,1.49
21536,Starkweather,2.698
21629,Stir Crazy,9.378
22049,Starcrash,6.959
22355,Wickie the Mighty Viking,7.275
22599,Star,6.533
22692,A Star Is Born,6.606
22701,Attack from Space,2.517
22788,All Star Comedy Jam,4.628
22949,Old Dogs,15.754
23367,Bandslam,9.944
23452,Gurren Lagann The Movie: The Lights in the Sky Are Stars,7.872
24189,The Missing Star,2.211
24225,Afghan Star,4.478
24241,And Starring Pancho Villa as Himself,4.159
24271,The Maiden Heist,10.157
24551,Dark Resurrection,1.06
24865,Star Quest: The Odyssey,2.181
25539,Winners & Sinners,13.348
25741,The Flight Before Christmas,9.966
25992,Bible Code,2.755
26261,Cops & Robbersons,10.944
26300,Fist of the North Star,5.23
26748,Lone Star,13.027
26873,To The Stars By Hard Ways,2.45
26965,The Captains' Summit,5.136
27196,Stardust,3.22
27408,Never Too Young to Die,3.249
27441,Countdown,5.303
27539,The Star,1.921
27681,Wish Upon a Star,6.106
27775,Starforce,2.344
28124,Seems Like Old Times,9.121
28150,Press Start,1.17
28678,Ironmaster,5.052
28892,Ballet,4.432
29891,Star Hunter,2.149
29963,Bright Star,8.434
