name,category,playtime,playtime_num,avg_rating,num_ratings,min_players
Agricola,Economic,>90,150,7.988569999999999,61557,1
Puerto Rico,Economic,>90,150,8.0359,61157,3
Small World,Fighting,"(60, 90]",80,7.29949,59211,2
Codenames,Deduction,<=30,15,7.71148,62563,2
Power Grid,Economic,>90,120,7.890039999999999,54420,2
King of Tokyo,Fighting,<=30,30,7.23048,54881,2
Love Letter,Deduction,<=30,20,7.25253,53131,2
Splendor,Economic,<=30,30,7.473310000000001,54445,2
Citadels,Bluffing,"(30, 60]",60,7.10124,46905,2
Dixit,Party Game,<=30,30,7.29405,47812,3
Race for the Galaxy,Economic,"(30, 60]",60,7.7624,44579,2
Scythe,Economic,>90,115,8.2841,52513,1
Terraforming Mars,Economic,>90,120,8.403310000000001,57359,1
Munchkin,Fighting,>90,120,5.92127,39939,3
Arkham Horror,Fighting,>90,360,7.29157,36102,1
Dead of Winter: A Crossroads Game,Bluffing,>90,120,7.67747,37602,2
Terra Mystica,Economic,>90,150,8.19293,37276,2
Hanabi,Deduction,<=30,25,7.1373,36775,2
The Resistance,Bluffing,<=30,30,7.33418,34774,5
Battlestar Galactica: The Board Game,Bluffing,>90,300,7.740819999999999,32005,3
Coup,Bluffing,<=30,15,7.03729,33927,2
Star Realms,Fighting,<=30,20,7.60884,33898,2
Magic: The Gathering,Fighting,<=30,20,7.47773,31086,2
Robinson Crusoe: Adventures on the Cursed Island,Fighting,>90,120,7.90738,31773,1
Blood Rage,Fighting,"(60, 90]",90,8.031080000000001,31455,2
Caylus,Economic,>90,150,7.8110800000000005,26174,2
Gloomhaven,Fighting,>90,120,8.89906,37075,1
Tzolk'in: The Mayan Calendar,Economic,"(60, 90]",90,7.92748,28786,2
Android: Netrunner,Bluffing,"(30, 60]",45,7.89668,26001,2
Eclipse,Fighting,>90,180,7.94262,25542,2
A Game of Thrones: The Board Game (Second Edition),Bluffing,>90,240,7.6607,27362,3
Cosmic Encounter,Bluffing,>90,120,7.555280000000001,26335,3
Sheriff of Nottingham,Bluffing,"(30, 60]",60,7.21073,28017,3
Caverna: The Cave Farmers,Economic,>90,210,8.0693,26739,1
Eldritch Horror,Fighting,>90,240,7.858039999999999,27732,1
Monopoly,Economic,>90,180,4.37636,26676,2
Shadows over Camelot,Bluffing,"(60, 90]",80,7.13334,24892,3
Mage Knight Board Game,Fighting,>90,240,8.106630000000001,26609,1
BANG!,Bluffing,"(30, 60]",40,6.52314,25506,4
Mysterium,Deduction,"(30, 60]",42,7.39843,29442,2
Le Havre,Economic,>90,150,7.89077,25443,1
The Resistance: Avalon,Bluffing,<=30,30,7.62483,25833,5
Roll for the Galaxy,Economic,"(30, 60]",45,7.72867,24800,2
Saboteur,Bluffing,<=30,30,6.6024899999999995,24198,3
Star Wars: X-Wing Miniatures Game,Bluffing,"(30, 60]",45,7.759760000000001,22459,2
San Juan,Economic,"(30, 60]",60,7.27255,21812,2
Istanbul,Economic,"(30, 60]",60,7.60923,23680,2
Concordia,Economic,>90,100,8.105360000000001,25711,2
For Sale,Economic,<=30,30,7.216589999999999,22580,3
Cards Against Humanity,Party Game,<=30,30,6.02013,22147,4
Elder Sign,Fighting,"(60, 90]",90,7.00506,21321,1
Descent: Journeys in the Dark (Second Edition),Fighting,>90,120,7.731269999999999,21853,2
Suburbia,Economic,"(60, 90]",90,7.56653,20870,1
Colt Express,Fighting,"(30, 60]",40,7.163119999999999,22886,2
Ghost Stories,Fighting,"(30, 60]",60,7.352010000000001,18848,1
Viticulture Essential Edition,Economic,"(60, 90]",90,8.14362,25735,1
Survive: Escape from Atlantis!,Bluffing,"(30, 60]",60,7.308510000000001,19404,2
Acquire,Economic,"(60, 90]",90,7.35261,17836,2
Through the Ages: A Story of Civilization,Economic,>90,240,7.989739999999999,17684,2
One Night Ultimate Werewolf,Bluffing,<=30,10,7.213360000000001,20142,3
Star Wars: Imperial Assault,Fighting,>90,120,8.0778,19391,2
Star Wars: Rebellion,Fighting,>90,240,8.44551,21095,2
Mansions of Madness: Second Edition,Fighting,>90,180,8.15362,22562,1
Apples to Apples,Party Game,<=30,30,5.85811,17184,4
Keyflower,Economic,>90,120,7.85182,18067,2
BANG! The Dice Game,Bluffing,<=30,15,6.990310000000001,18715,3
Through the Ages: A New Story of Civilization,Economic,>90,120,8.531039999999999,21053,2
Isle of Skye: From Chieftain to King,Economic,"(30, 60]",50,7.456339999999999,19015,2
Cyclades,Fighting,"(60, 90]",90,7.5237,17126,2
The Voyages of Marco Polo,Economic,>90,100,7.94038,18669,2
Spyfall,Bluffing,<=30,15,6.9856,17441,3
Troyes,Economic,"(60, 90]",90,7.76293,17608,2
Clue,Bluffing,"(30, 60]",45,5.65866,16735,3
The Pillars of the Earth,Economic,>90,120,7.30571,15943,2
Brass: Lancashire,Economic,>90,120,8.12303,18149,2
Diamant,Bluffing,<=30,30,6.831119999999999,16269,3
Alchemists,Deduction,>90,120,7.69764,17270,2
Zombie Dice,Party Game,<=30,20,6.21825,15634,2
Mice and Mystics,Fighting,"(60, 90]",90,7.371410000000001,16009,1
Modern Art,Economic,"(30, 60]",45,7.37034,15950,3
Battle Line,Deduction,<=30,30,7.41564,15193,2
Zombies!!!,Fighting,"(60, 90]",90,5.8306,14176,2
Mr. Jack,Deduction,<=30,30,7.045439999999999,14639,2
Sushi Go Party!,Party Game,<=30,20,7.51717,19687,2
Saint Petersburg,Economic,"(30, 60]",60,7.312689999999999,14032,2
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Deduction,>90,120,7.800330000000001,16023,1
Dixit: Odyssey,Party Game,<=30,30,7.48416,15671,3
Sentinels of the Multiverse,Fighting,"(30, 60]",60,7.273210000000001,14307,2
Chaos in the Old World,Fighting,>90,120,7.67316,13966,3
Friday,Fighting,<=30,25,7.1943399999999995,15356,1
Kemet,Fighting,>90,120,7.75018,15473,2
Last Night on Earth: The Zombie Game,Fighting,"(60, 90]",90,6.96853,13389,2
Castle Panic,Fighting,"(30, 60]",60,6.67413,13818,1
Codenames: Pictures,Deduction,<=30,15,7.341069999999999,15752,2
Quarriors!,Fighting,<=30,30,6.780989999999999,12941,2
Century: Spice Road,Economic,"(30, 60]",45,7.39227,16948,2
Scotland Yard,Deduction,"(30, 60]",45,6.50481,13713,3
Glory to Rome,Economic,"(30, 60]",60,7.49292,12710,2
Stratego,Bluffing,"(30, 60]",45,6.0709800000000005,13254,2
Dungeon Lords,Economic,"(60, 90]",90,7.417160000000001,12623,2
Concept,Deduction,"(30, 60]",40,6.8856399999999995,14303,4
Mansions of Madness,Fighting,>90,180,7.3316300000000005,12513,2
Neuroshima Hex! 3.0,Fighting,<=30,30,7.41835,12870,1
King of New York,Fighting,"(30, 60]",40,7.02216,13485,2
Shogun,Economic,>90,120,7.55495,12550,3
Wits & Wagers,Bluffing,<=30,25,6.94676,12917,3
