source,target,value
Dork Tower,Nur Peanuts!,0
Dork Tower,Hepta,1
Snake Pit,Lucky Captain,0
Snake Pit,Alien Wars,0
Snake Pit,Full Moon Jacket,1
Dork Tower,Crystal Faire,1
Buffy the Vampire Slayer,Twixt,1
Buffy the Vampire Slayer,Hepta,1
Abduction,Leipzig,0
Dork Tower,Astro Drive,0
Abduction,Snake Pit,0
Histrio,Guardian's Call,1
Abduction,Showdown Yahtzee,1
Histrio,Formissimo,0
Abduction,Isolation,1
Dork Tower,The Circle,1
4th Dimension,Witty Pong,0
4th Dimension,Lumberjack,1
4th Dimension,Guildes,0
Histrio,Shabadabada,1
4th Dimension,Minotaur Lords,1
4th Dimension,New Mastermind,1
Histrio,Mukden,0
4th Dimension,ElemenZ,0
4th Dimension,Space Pioneers,1
4th Dimension,Buffy the Vampire Slayer,0
4th Dimension,Alien Wars,1
4th Dimension,Bookmaker,0
Escape from New York,Nur Peanuts!,0
Histrio,Abduction,1
Escape from New York,Tyranid Attack,1
Histrio,Merchants of Muziris,0
Histrio,Tataraba and Forest,1
