name,year,average_rating,users_rated
Codenames,2015,7.71148,51209
King of Tokyo,2011,7.23048,48611
Love Letter,2012,7.25253,47014
Splendor,2014,7.47331,45239
7 Wonders Duel,2015,8.12219,40971
Scythe,2016,8.2841,39962
Lords of Waterdeep,2012,7.76601,38696
Terraforming Mars,2016,8.40331,39327
The Castles of Burgundy,2011,8.12835,36901
Patchwork,2014,7.7122,33721
Dead of Winter: A Crossroads Game,2014,7.67747,32915
Terra Mystica,2012,8.19293,32719
Pandemic Legacy: Season 1,2015,8.64165,31326
Coup,2012,7.03729,29287
Star Realms,2014,7.60884,28520
Takenoko,2011,7.30231,28059
Azul,2017,7.92827,28526
Robinson Crusoe: Adventures on the Cursed Island,2012,7.90738,26958
Sushi Go!,2013,7.07832,26757
Five Tribes,2014,7.77831,25814
Blood Rage,2015,8.03108,25752
Gloomhaven,2017,8.89906,25289
Tzolk'in: The Mayan Calendar,2012,7.92748,24570
Android: Netrunner,2012,7.89668,24352
Eclipse,2011,7.94262,24009
A Game of Thrones: The Board Game (Second Edition),2011,7.6607,24148
Sheriff of Nottingham,2014,7.21073,23880
Caverna: The Cave Farmers,2013,8.0693,23774
Eldritch Horror,2013,7.85804,23746
Mage Knight Board Game,2011,8.10663,23604
Mysterium,2015,7.39843,23481
The Resistance: Avalon,2012,7.62483,22647
Roll for the Galaxy,2014,7.72867,21508
Machi Koro,2012,6.65776,21226
Forbidden Desert,2013,7.19957,21071
Star Wars: X-Wing Miniatures Game,2012,7.75976,20793
Smash Up,2012,6.80413,20616
Istanbul,2014,7.60923,20045
Concordia,2013,8.10536,20052
Kingdomino,2016,7.38122,20047
Elder Sign,2011,7.00506,19462
Descent: Journeys in the Dark (Second Edition),2012,7.73127,19424
Great Western Trail,2016,8.28848,19431
Suburbia,2012,7.56653,19018
T.I.M.E Stories,2015,7.75584,19082
Colt Express,2014,7.16312,19008
Castles of Mad King Ludwig,2014,7.62083,18893
Camel Up,2014,7.0672,18802
The Lord of the Rings: The Card Game,2011,7.6394,18192
Flash Point: Fire Rescue,2011,7.23437,18091
Seasons,2012,7.44072,17613
Imperial Settlers,2014,7.47769,17541
Viticulture Essential Edition,2015,8.14362,17821
Village,2011,7.54535,17447
Arkham Horror: The Card Game,2016,8.21902,17681
Santorini,2016,7.63967,17702
Legendary: A Marvel Deck Building Game,2012,7.60336,17052
Clank!: A Deck-Building Adventure,2016,7.81438,17357
One Night Ultimate Werewolf,2014,7.21336,17026
Kingdom Builder,2011,6.98532,16742
Star Wars: Imperial Assault,2014,8.0778,16677
Star Wars: Rebellion,2016,8.44551,16732
Mansions of Madness: Second Edition,2016,8.15362,16743
Tokaido,2012,7.03663,16168
Keyflower,2012,7.85182,15989
BANG! The Dice Game,2013,6.99031,15947
OrlÃ©ans,2014,8.08346,16007
Through the Ages: A New Story of Civilization,2015,8.53104,15835
Isle of Skye: From Chieftain to King,2015,7.45634,15725
The Voyages of Marco Polo,2015,7.94038,15531
Spyfall,2014,6.9856,15330
Alchemists,2014,7.69764,14723
Sagrada,2017,7.58018,14928
Mice and Mystics,2012,7.37141,14345
Zombicide,2012,7.20996,14246
Escape: The Curse of the Temple,2012,7.03442,14034
Exploding Kittens,2015,5.94969,13925
Sushi Go Party!,2016,7.51717,13820
Dixit: Odyssey,2011,7.48416,13453
Sentinels of the Multiverse,2011,7.27321,13324
Friday,2011,7.19434,13260
Kemet,2012,7.75018,13241
Codenames: Pictures,2016,7.34107,12717
Trajan,2011,7.78383,12610
Quarriors!,2011,6.78099,12503
Century: Spice Road,2017,7.39227,12706
Russian Railroads,2013,7.79106,12189
Concept,2013,6.88564,12110
Mansions of Madness,2011,7.33163,11953
King of New York,2014,7.02216,12001
Captain Sonar,2016,7.63964,12031
Letters from Whitechapel,2011,7.43459,11817
Tiny Epic Galaxies,2015,7.39368,11728
Legends of Andor,2012,7.24574,11661
Boss Monster: The Dungeon Building Card Game,2013,6.31273,11396
Secret Hitler,2016,7.58786,11476
Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,2013,7.27195,11231
Mechs vs. Minions,2016,8.12782,11205
Deception: Murder in Hong Kong,2014,7.53145,11281
A Feast for Odin,2016,8.18077,11315
Libertalia,2012,7.20014,11081
Lewis & Clark,2013,7.51827,11059
Agricola: All Creatures Big and Small,2012,7.42536,11028
Dungeon Petz,2011,7.512,11008
Evolution,2014,7.19797,10839
Spirit Island,2017,8.37052,11284
Rising Sun,2018,8.00452,10766
Ca$h 'n Guns (Second Edition),2014,6.9594,10427
