Parameter,Value
GTID,zpatwary3
1_Mean Absolute Error,1656.147651
1_Root Mean Squared Error,2456.983209
1_Relative Absolute Error,0.276606
1_Relative Squared Error,0.089608
1_Coefficient of Determination,0.910392
2_Mean Absolute Error,1587.975994
2_Root Mean Squared Error,2502.355872
2_Relative Absolute Error,0.254917
2_Relative Squared Error,0.082756
2_Coefficient of Determination,0.917244
3_Root Mean Squared Error (RMSE) for 1st fold,3312.276111
3_Root Mean Squared Error (RMSE) for 2nd fold,2111.227311
3_Root Mean Squared Error (RMSE) for 3rd fold,2290.20119
3_Root Mean Squared Error (RMSE) for 4th fold,3205.21748
3_Root Mean Squared Error (RMSE) for 5th fold,3066.444693
3_Coefficient of Determination for 1st fold,0.58465
3_Coefficient of Determination for 2nd fold,0.930863
3_Coefficient of Determination for 3rd fold,0.927611
3_Coefficient of Determination for 4th fold,0.865448
3_Coefficient of Determination for 5th fold,0.886726
